from_addr,sh_tx,delay_h,sh_amt,un_amt,amt_ratio,self_bc,tok,from_in_ppoi,sh_tx_in_ppoi,any_ppoi_hit,is_forced_candidate,is_candidate_loose
0x8875faf14754f3cfcce5c251052965ab1b08586c,0xeec343ebe7902ba72d6b9dfe1bd1b909462d7c529554bed0dc16bb270e2b565c,1.24,0.0819171842272326,0.0804610257790738,0.982224017318277,False,WETH,False,False,False,False,False
0xc8f5e193045808dbf190ac084cc1c72ae846a5d4,0xe5d979650ca51ba4ece261dd80b34ccb488fde4fbb0c60b6e9f4274e299682f2,19.553333333333335,9.975e-05,0.0009975,10.0,True,WETH,False,False,False,False,False
0xc8f5e193045808dbf190ac084cc1c72ae846a5d4,0xe5d979650ca51ba4ece261dd80b34ccb488fde4fbb0c60b6e9f4274e299682f2,49.586666666666666,9.975e-05,0.0009945075,9.969999999999999,True,WETH,False,False,False,False,False
0xc8f5e193045808dbf190ac084cc1c72ae846a5d4,0xa4a14a618d11ac7fef8e68418c9b5951161682865ca6d24bffec8fbd566e0646,22.223333333333333,0.001995,0.0009975,0.5,True,WETH,False,False,False,False,False
0xc8f5e193045808dbf190ac084cc1c72ae846a5d4,0xa4a14a618d11ac7fef8e68418c9b5951161682865ca6d24bffec8fbd566e0646,52.25666666666667,0.001995,0.0009945075,0.4985,True,WETH,False,False,False,False,False
0x9d668beb7f199e4b657547c1c310afbd2a690519,0xc46517ba7c26367d1736c2abe32976ff36d2bb556345f1e2a91a7b6fad1d6971,1.35,0.069825,0.009975,0.14285714285714285,True,WETH,False,False,False,False,False
0x0fb292b74a2147c205d514f3247ad2f085a406da,0x9146c967ed1490025ce8fb510647d71b2f29f4872b6d35199c6766ffb46f9a57,3.66,15.94791328567286,15.90804350245868,0.9975000000000002,True,WETH,True,True,True,False,True
0x898358e79ffcbed6ebc0d7b11db8a38d05021bd7,0xfe9d646be1b6293933b3a9970e2a6b157c05f2eacba95e8fd3a94a499df9bf62,229.17,0.2952151515774672,0.01,0.03387360014066185,False,WETH,False,False,False,False,False
0x53c75ebc3d7a3fd1809e0813a4f59c73455c149e,0xc088451a4e1b812732fc8454ff2f911da004c14ee754e1422a47b40ab40627ce,1.1133333333333333,519.4730625,518.17437984375,0.9975,True,WETH,True,True,True,True,True
0xa43b429eb260619ff4915a59b38f2f5285c2661b,0xdfb7b0f936349ad79b07aaa127abceb084e23d8ba355d84292e83014cf8a0ce6,1.4,0.126257822831805,0.1259421782747254,0.9974999999999993,True,WETH,False,False,False,True,True
0xdb801f5c41cc7b8a92e0cdf7cd04269900568862,0xfe34b58b893458e4c73da3fe7df0e078a7669bf06c7ad2816156a19cc3b4c3f9,192.37333333333333,0.0140350877192982,0.0129737946618593,0.9243828696574781,False,WETH,False,False,False,False,False
0xe62d534ebae8a22453fbe8d25addfb49381dcf0f,0x78131c6edcef311cd5fea4aa2cccbb9d3169789f97fb6de59352a3e448a07c8c,473.66,0.829452516130557,0.9163195192155036,1.1047281205320663,False,WETH,False,False,False,False,False
0x0476c03660842569839252fe6a00a4e27d50aa7f,0x225213dcf03bc303c957260b821dadccf7abbf8aca8dde5522aee6d2fcf85ad6,4.26,0.29925,0.2977349936075424,0.9949373219968,False,WETH,False,False,False,False,False
0x3f6781fcf5da0151da097f4780c49b08dc39aafc,0x561e523a15724914d73d47985c9e32f19e5d50d735dc0c1963aa152d4ca73be8,166.77666666666667,0.9975,0.09975,0.1,True,WETH,False,False,False,False,False
0xe62d534ebae8a22453fbe8d25addfb49381dcf0f,0x5315774637748336ae976d97aa95772c866d7801b2e0308334e3ed39a833df7e,520.1666666666666,2.176079464445848,0.9163195192155036,0.42108734271284987,False,WETH,False,False,False,False,False
0x02b4ca57a3597bbf27eb1f1a5fc07d9dd06cbdd1,0xf30188e0bb12fb56fe7396dc889491e54c9f2ed89bfe7ad09197963a81b21fa6,5.9366666666666665,0.0100250626566416,1.8,179.55000000000007,True,WETH,False,False,False,False,False
0x3fdb339fb272674e66355164e2c386ad8ac357e9,0x08f30d821487c4ccb738744773da776e0fc1487decd857410e53492299905623,312.00666666666666,0.3840375,0.049875,0.12987012987012989,True,WETH,False,False,False,False,False
0x2da0cb916b8a67a6e9e2e23e7af91b5328e390f9,0x05ba410940f39f84f8e38ba769ab50387f0028f56ebab5dee8429d0319d8a2fa,59.11666666666667,70.35669096229027,0.0049875,7.0888780182587e-05,True,WETH,False,False,False,False,False
0x3f6781fcf5da0151da097f4780c49b08dc39aafc,0x181b2b22218237cb7db8dc9eedcf19aa652a888315e628faa67b8ffdd8e8b73e,3.54,14.413875,0.9975,0.06920415224913495,True,WETH,False,False,False,False,False
0x3f6781fcf5da0151da097f4780c49b08dc39aafc,0x181b2b22218237cb7db8dc9eedcf19aa652a888315e628faa67b8ffdd8e8b73e,235.69666666666666,14.413875,0.09975,0.006920415224913495,True,WETH,False,False,False,False,False
0x2da0cb916b8a67a6e9e2e23e7af91b5328e390f9,0x42754ed549be5fb8899efb04dc167212b1bdf2176c7264752cd5e184c978d6d5,61.19,29.925,0.0049875,0.00016666666666666666,True,WETH,False,False,False,False,False
0x2da0cb916b8a67a6e9e2e23e7af91b5328e390f9,0x85915b0fe25bd542a139d61d36fedee412382e4eb511b693b0d7709436c836c2,62.95666666666666,8.9775,0.0049875,0.0005555555555555556,True,WETH,False,False,False,False,False
0x996806d0df014a976459db21bb06f090509c8e9c,0x1c20ce0999a43294b43d1371f0c51a469950e2453ebed10f563e13880e390e04,53.25333333333333,0.0138632225189946,0.0049875,0.35976483773281503,False,WETH,False,False,False,False,False
0x996806d0df014a976459db21bb06f090509c8e9c,0x1c20ce0999a43294b43d1371f0c51a469950e2453ebed10f563e13880e390e04,53.77,0.0138632225189946,0.0149625,1.0792945131984453,False,WETH,False,False,False,False,False
0x2da0cb916b8a67a6e9e2e23e7af91b5328e390f9,0x89f0eedbf0bcabb6205d2f47ec2a56e47c945b8caf564da1589a2bef85291cb3,64.13666666666667,0.09975,0.0049875,0.049999999999999996,True,WETH,False,False,False,False,False
0x2da0cb916b8a67a6e9e2e23e7af91b5328e390f9,0xbd74f4e72136baa2b8b80a245a7793c318eb1c4ab941da03528b96721dc9b4d4,82.98333333333333,0.01995,0.0049875,0.25,True,WETH,False,False,False,False,False
